17f0 2e5
11818 5cb
1185a 8b3
118b7 b9e
1192f e8c
119c3 117d
11a72 1474
11b3d 1771
11c24 1a74
11d28 1d7f
11e4a 2092
11f8a 23af
120e8 26d7
12266 2a0a
12404 2d4b
125c2 3099
1279e 33f8
12982 376e
12c3a 3acc
12e57 3e6b
130cb 4214
1336f 45d2
13640 49a8
13941 4d97
13c73 51a2
13fd8 55cb
14372 5a14
14746 5e80
14b56 6311
14fa5 67ca
15437 6caf
15911 71c2
15e38 7707
163af 7c83
1697e 8237
16fa6 8824
175e1 8db2
17d58 952c
184c5 9bf7
18cb8 a32a
19537 aac2
19e4e b2c7
1a80a bb45
1b27c c445
1bdb5 cdd7
1c9ca d809
1d6d2 e2ed
1e4ea ee99
1f431 fb24
204cb 108aa
216e5 1174b
22ab2 1272e
2406f 13880
25866 14b76
272fe 16045
28fe3 177df
2b130 19152
2d654 1ae1a
30063 1ce9b
3306a 1f399
367c2 21e15
3a835 24f67
3f42d 2895f
44f06 2ce84
4bd8b 32272
546db 38a81
5f5f8 40ef9
6dce5 4bd65
81b42 5ad8d
9ee21 70d5a
cdcb7 94277
1259ea d63c2
205273 17e5a0
8d17be 69aead
3a9df1 2c78fb
181848 128368
f18c2 bbebb
af4e1 8a122
893b3 6d66b
7083a 5ac65
5f2d7 4db2b
52590 4402a
4878b 3c8b4
40a2c 369cc
3a44c 31c90
34fe5 2dc7a
308d7 2a66f
2cc35 2783c
297df 25048
26a3f 22d62
24221 20ea1
21e94 1f353
1fee4 1dadb
1e26a 1c4ee
1c8bc 1b110
1b174 19f01
19c40 18e84
188dd 17f66
17712 1717c
166af 164a3
1578c 158bb
14986 14dac
13c7f 1435e
1305e 139bd
1250b 130ba
11a72 12845
11083 12051
1072e 118d2
fe63 111bf
f610 10b0c
eded 104a7
e76e fecf
e034 f90f
d989 f39f
d33c ee72
cd41 e984
c792 e4ce
c229 e04e
bd00 dbff
b814 d7df
b361 d3eb
aee2 d01f
aa95 cc79
a677 c8f8
a284 c598
9eba c258
9b17 bf36
9798 bc31
943c b946
90fc b615
8de4 b3bf
8ae5 b11d
8802 ae90
8538 ac19
8288 a9b5
7ff0 a764
7d6e a525
7b02 a2f7
78aa a0d9
7666 9ecb
7435 9ccb
7216 9ada
7008 98f6
6e0b 971f
6c1e 9554
6a43 9395
687b 91df
66e5 902a
6479 8ec1
631a 8d19
6188 8b8c
5ffa 8a0b
5e75 8894
5cfa 8725
5b88 85c0
5a20 8462
58c1 830d
576b 81bf
561e 8078
54da 7f39
539d 7e00
5269 7cce
513c 7ba2
5016 7a7d
4ef8 795e
4de1 7845
4cd8 773f
4bc3 761d
4abf 7515
49c1 7411
48c9 7312
47d6 7217
46e9 7121
4601 7030
451e 6f43
4441 6e5a
4368 6d75
4294 6c94
41c4 6bb7
40f9 6ade
4032 6a08
3f70 6936
3eb3 6866
3dfc 6797
3d55 66c1
3c38 665f
3bc5 6565
3b20 64a1
3a79 63e4
39d5 632a
3933 6275
3894 61c2
37f8 6112
375f 6065
36c8 5fbb
3635 5f13
35a4 5e6e
3515 5dcb
3489 5d2a
3400 5c8c
3378 5bef
32f3 5b55
326e 5abb
31d7 5a16
3186 59a1
3102 590a
3087 587a
300f 57ec
2f9a 5760
2f27 56d6
2eb5 564e
2e46 55c8
2dd8 5544
2d6d 54c2
2d03 5441
2c9b 53c2
2c35 5344
2bd0 52c8
2b6d 524e
2b0b 51d5
2aab 515f
2a4c 50eb
29fe 5050
2996 4ffb
293c 4f8b
28e3 4f1b
288c 4eac
2836 4e3f
27e1 4dd2
278e 4d67
273c 4cfd
26eb 4c94
269c 4c2d
264e 4bc6
2601 4b61
25b6 4afd
256d 4a9a
2525 4a39
24e0 49d8
24a3 497a
2496 4922
23b4 48b0
239d 4859
2363 47ff
2324 47a4
22e4 474a
22a5 46f2
2265 469a
2227 4643
21e8 45ec
21ab 4597
216e 4542
2133 44ef
20f8 449c
20bd 444a
2084 43f8
204b 43a8
2012 4359
1fdb 430b
1faa 42f4
1f6e 426b
1f39 4220
1f04 41d4
1ed0 4189
1e9d 413e
1e6a 40f4
1e38 40ab
1e06 4063
1dd5 401b
1da5 3fd4
1d76 3f8d
1d47 3f47
1d18 3f02
1ceb 3ebd
1cbe 3e79
1c92 3e35
1c67 3df1
1c45 3dab
1bf2 3d77
1bd9 3d30
1bb1 3cef
1b88 3cae
1b5f 3c6f
1b37 3c2f
1b0f 3bf1
1ae7 3bb3
1abf 3b75
1a98 3b38
1a72 3afc
1a4b 3ac0
1a25 3a84
1a00 3a48
19da 3a0d
19b5 39d2
198f 3995
1966 3955
1907 38bd
193a 390e
190f 38c9
18ea 388e
18c7 3855
18a5 381e
1884 37e8
1862 37b2
1842 377d
1821 3748
1801 3714
17e1 36e0
17c2 36ad
17a2 367b
1783 3649
1763 3618
1743 35e9
1720 35bd
16ef 35a1
1763 34dc
16ef 3505
16c9 34de
16aa 34b2
168c 3485
1670 3457
1654 3429
1639 33fc
161e 33ce
1603 33a1
